bib_key,title,authors,year,entry_type,url
Ferreiros2007,Labyrinth of Thought: A History of Set Theory and Its Role in Modern Mathematics,"Ferreirós, José",2007,book,/bibliography/ferreiros2007/
engel2007,Evidence for Wavelike Energy Transfer through Quantum Coherence in Photosynthetic Systems,"Engel, Gregory S. and Calhoun, Tessa R. and Read, Elizabeth L. and Ahn, Tae-Kyu and Mančal, Tomáš and Cheng, Yuan-Chung and Blankenship, Robert E. and Fleming, Graham R.",2007,article,/bibliography/engel2007/
ladyman2007,Every Thing Must Go: Metaphysics Naturalized,James Ladyman and Don Ross,2007,book,/bibliography/ladyman2007/
KapustinWitten2007,Electric-Magnetic Duality And The Geometric Langlands Program,"Kapustin, Anton and Witten, Edward",2007,article,/bibliography/kapustinwitten2007/
Spelke2007,Core Knowledge,Elizabeth S. Spelke and Katherine D. Kinzler,2007,book,/bibliography/spelke2007/
Siderits2007,Buddhism as Philosophy: An Introduction,Mark Siderits,2007,book,/bibliography/siderits2007/
Quaranta2007,Asymmetric Tail-Wagging Responses by Dogs to Different Emotive Stimuli,Angelo Quaranta and Marcello Siniscalchi and Giorgio Vallortigara,2007,book,/bibliography/quaranta2007/
AnalysisOnGraphs2007,Analysis on Graphs and its Applications,Pavel Kuchment and others,2007,incollection,/bibliography/analysisongraphs2007/
Matveev2007,Algorithmic Topology and Classification of 3-Manifolds,"Matveev, S. V.",2007,book,/bibliography/matveev2007/
mpmath,mpmath: a Python library for arbitrary-precision floating-point arithmetic,Mpmath Development Team and Fredrik Johansson,2006--,misc,/bibliography/mpmath/
FarmerGonekHughes2006,Zeros of truncated Euler products and related problems,"Farmer, D. W. and Gonek, S. M. and Hughes, C. P.",2006,article,/bibliography/farmergonekhughes2006/
Brown2006,Topology and groupoids,"Brown, Ronald",2006,book,/bibliography/brown2006/
HofmannMorris2006,The structure of compact groups,"Hofmann, Karl H. and Morris, Sidney A.",2006,book,/bibliography/hofmannmorris2006/
noble2006,The Music of Life: Biology Beyond the Genome,"Noble, Denis",2006,book,/bibliography/noble2006/
lowe2006,The Four-Category Ontology: A Metaphysical Foundation for Natural Science,E. J. Lowe,2006,book,/bibliography/lowe2006/
Kock2006,Synthetic Differential Geometry,Anders Kock,2006,book,/bibliography/kock2006/
tononi2006,Sleep Function and Synaptic Homeostasis,"Tononi, Giulio and Cirelli, Chiara",2006,article,/bibliography/tononi2006/
Petersen2006,Riemannian Geometry,P. Petersen,2006,book,/bibliography/petersen2006/
rindler2006relativity,"Relativity: Special, General, and Cosmological","Rindler, Wolfgang",2006,book,/bibliography/rindler2006relativity/
AshtekarPawlowskiSingh2006,Quantum nature of the big bang,"Ashtekar, A. and Pawlowski, T. and Singh, P.",2006,article,/bibliography/ashtekarpawlowskisingh2006/
JaffeWitten2006,Quantum Yang–Mills Theory,Arthur Jaffe and Edward Witten,2006,misc,/bibliography/jaffewitten2006/
MontgomeryVaughan2006,Multiplicative Number Theory I. Classical Theory,"Montgomery, H. L. and Vaughan, R. C.",2006,book,/bibliography/montgomeryvaughan2006/
Topping2006,Lectures on the Ricci Flow,"Topping, Peter",2006,book,/bibliography/topping2006/
Sipser2006,Introduction to the Theory of Computation,Michael Sipser,2006,book,/bibliography/sipser2006/
Elkies2006,High rank elliptic curves: examples and computations,Noam D. Elkies,2006,misc,/bibliography/elkies2006/
Chow2006,Hamilton's Ricci Flow,"Chow, Bennett and Lu, Peng and Ni, Lei and others",2006,book,/bibliography/chow2006/
RovelliGraviton2006,Graviton propagator from background-independent quantum gravity,"Rovelli, C.",2006,article,/bibliography/rovelligraviton2006/
LapidusFrankenhuijsen2006,"Fractal Geometry, Complex Dimensions and Zeta Functions",M. L. Lapidus and M. van Frankenhuijsen,2006,book,/bibliography/lapidusfrankenhuijsen2006/
ArnoldFalkWinther2006,"Finite Element Exterior Calculus, Homological Techniques, and Applications",Douglas N. Arnold and Richard S. Falk and Ragnar Winther,2006,article,/bibliography/arnoldfalkwinther2006/
Milnor2006,Dynamics in one complex variable,"Milnor, John",2006,book,/bibliography/milnor2006/
DragoTomassini2006,Differential Geometry and Analysis on CR Manifolds,Sorin Dragomir and Giuseppe Tomassini,2006,book,/bibliography/dragotomassini2006/
BasuPollackRoy2006,Algorithms in real algebraic geometry,"Basu, Saugata and Pollack, Richard and Roy, Marie-Françoise",2006,book,/bibliography/basupollackroy2006/
CaoZhu2006,A complete proof of the Poincaré and geometrization conjectures — application of the Hamilton–Perelman theory of the Ricci flow,Huai-Dong Cao and Xi-Ping Zhu,2006,article,/bibliography/caozhu2006/
clowe2006direct,A Direct Empirical Proof of the Existence of Dark Matter,"Clowe, Douglas and others",2006,article,/bibliography/clowe2006direct/
Vafa2005,The string landscape and the swampland,"Vafa, C.",2005,article,/bibliography/vafa2005/
Stillwell2005,The four pillars of geometry,"Stillwell, John",2005,book,/bibliography/stillwell2005/
Frigo2005,The design and implementation of FFTW3,"Frigo, Matteo and Johnson, Steven G.",2005,article,/bibliography/frigo2005/
FrigoJohnson2005,The design and implementation of FFTW3,"Frigo, Matteo and Johnson, Steven G.",2005,article,/bibliography/frigojohnson2005/
BaltzCicoliQuevedoZavala2006,Systematics of moduli stabilisation in Calabi–Yau flux compactifications,"Balasubramanian, V. and Berglund, P. and Conlon, J. P. and Quevedo, F.",2005,article,/bibliography/baltzcicoliquevedozavala2006/
CrandallPomerance2005,Prime Numbers: A Computational Perspective,Richard Crandall and Carl Pomerance,2005,book,/bibliography/crandallpomerance2005/
lane2005,"Power, Sex, Suicide: Mitochondria and the Meaning of Life","Lane, Nick",2005,book,/bibliography/lane2005/
Mukhanov2005,Physical Foundations of Cosmology,Viatcheslav Mukhanov,2005,book,/bibliography/mukhanov2005/
mukhanov2005physical,Physical Foundations of Cosmology,"Mukhanov, Viatcheslav",2005,book,/bibliography/mukhanov2005physical/
KamLAND2005,Measurement of Neutrino Oscillation with KamLAND: Evidence of Spectral Distortion,KamLAND Collaboration,2005,article,/bibliography/kamland2005/
Stephenson2005,Introduction to circle packing,"Stephenson, Kenneth",2005,book,/bibliography/stephenson2005/
GarnettMarshall2005,Harmonic Measure,"Garnett, John B. and Marshall, Donald E.",2005,book,/bibliography/garnettmarshall2005/
DesbrunHirani2005,Discrete Exterior Calculus,Mathieu Desbrun and Anil N. Hirani and Michael Leok and Jerrold E. Marsden,2005,article,/bibliography/desbrunhirani2005/
DesbrunHiraniLeokMarsden2005,Discrete Exterior Calculus,Mathieu Desbrun and Ananya N. Hirani and Melvin Leok and Jerrold E. Marsden,2005,incollection,/bibliography/desbrunhiranileokmarsden2005/
Desbrun2005,Discrete Differential-Geometry Operators for Triangulated 2-Manifolds,Mathieu Desbrun and Mark Meyer and Peter Schröder,2005,incollection,/bibliography/desbrun2005/
Huybrechts2005,Complex Geometry: An Introduction,Daniel Huybrechts,2005,book,/bibliography/huybrechts2005/
Endler2010,Animal Visual Systems and the Evolution of Color Patterns: Sensory Processing Illuminates Signal Evolution,John A. Endler and Lorna C. Westcott and Jessica R. Madden and Tim Robson,2005,article,/bibliography/endler2010/
Diamond2005,A First Course in Modular Forms,Fred Diamond and Jerry Shurman,2005,book,/bibliography/diamond2005/
Kato2004,p-adic Hodge theory and values of zeta functions of modular forms,Kazuya Kato,2004,article,/bibliography/kato2004/
Andre2004,"Une introduction aux motifs (motifs purs, motifs mixtes, périodes)",Yves André,2004,book,/bibliography/andre2004/
GrauertRemmert,Theory of Stein Spaces,Hans Grauert and Reinhold Remmert,2004,book,/bibliography/grauertremmert/
Penrose2004,The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,2004,book,/bibliography/penrose2004/
penrose2004road,The Road to Reality: A Complete Guide to the Laws of the Universe,"Penrose, Roger",2004,book,/bibliography/penrose2004road/
penrose2020,The Road to Reality: A Complete Guide to the Laws of the Universe,"Penrose, Roger",2004,book,/bibliography/penrose2020/
Nelson2003,The Emergence of Autobiographical Memory: A Social Cultural Developmental Theory,Katherine Nelson and Robyn Fivush,2004,article,/bibliography/nelson2003/
sloterdijk2004,Sphären III: Schäume,Peter Sloterdijk,2004,book,/bibliography/sloterdijk2004/
CarrollSpacetime2004,Spacetime and Geometry: An Introduction to General Relativity,Sean M. Carroll,2004,book,/bibliography/carrollspacetime2004/
Mehta2004,Random Matrices,Madan Lal Mehta,2004,book,/bibliography/mehta2004/
Kuchment2004,Quantum graphs: I. Some basic structures,Pavel Kuchment,2004,article,/bibliography/kuchment2004/
Kirillov2004,Lectures on the Orbit Method,Alexander Kirillov Jr.,2004,book,/bibliography/kirillov2004/
tinkham2004introduction,Introduction to Superconductivity,"Tinkham, Michael",2004,book,/bibliography/tinkham2004introduction/
Dokchitser2004,Computing special values of motivic <math><mi>L</mi></math>-functions,Tim Dokchitser,2004,article,/bibliography/dokchitser2004/
Kaczynski2004,Computational Homology,Tomasz Kaczynski and Konstantin Mischaikow and Marian Mrozek,2004,book,/bibliography/kaczynski2004/
KaczynskiMischaikowMrozek2004,Computational Homology,Tomasz Kaczynski and Konstantin Mischaikow and Marian Mrozek,2004,book,/bibliography/kaczynskimischaikowmrozek2004/
IwaniecKowalski2004,Analytic Number Theory,Henryk Iwaniec and Emmanuel Kowalski,2004,book,/bibliography/iwanieckowalski2004/
Katznelson2004,An introduction to harmonic analysis,"Katznelson, Yitzhak",2004,book,/bibliography/katznelson2004/
AngenentKnopf2004,An example of neckpinch singularity for Ricci flow,Sigurd Angenent and Dan Knopf,2004,article,/bibliography/angenentknopf2004/
tononi2004,An Information Integration Theory of Consciousness,"Tononi, Giulio",2004,article,/bibliography/tononi2004/
DummitFoote2004,Abstract Algebra,David S. Dummit and Richard M. Foote,2004,book,/bibliography/dummitfoote2004/
Conrey2003,The Riemann Hypothesis,J. Brian Conrey,2003,article,/bibliography/conrey2003/
Livio2003,"The Golden Ratio: The Story of Phi, the World's Most Astonishing Number",Mario Livio,2003,book,/bibliography/livio2003/
Jech2003,Set Theory,Thomas Jech,2003,book,/bibliography/jech2003/
Perelman2003-1,Ricci flow with surgery on three-manifolds,Grigori Perelman,2003,misc,/bibliography/perelman2003-1/
Perelman2003,Ricci flow with surgery on three-manifolds,"Perelman, Grigori",2003,article,/bibliography/perelman2003/
Perelman2003a,Ricci flow with surgery on three-manifolds,"Perelman, Grigori",2003,misc,/bibliography/perelman2003a/
Jaynes2003,Probability Theory: The Logic of Science,E. T. Jaynes,2003,book,/bibliography/jaynes2003/
Seress2003,Permutation group algorithms,"Seress, Ákos",2003,book,/bibliography/seress2003/
Conway2003,On Quaternions and Octonions,"Conway, John H. and Smith, Derek A.",2003,book,/bibliography/conway2003/
Dodelson2003,Modern Cosmology,Scott Dodelson,2003,book,/bibliography/dodelson2003/
MoerdijkMrcun2003,Introduction to foliations and Lie groupoids,"Moerdijk, Ieke and Mrčun, Janez",2003,book,/bibliography/moerdijkmrcun2003/
Moerdijk2003,Introduction to Foliations and Lie Groupoids,Ieke Moerdijk and Janez Mrčun,2003,book,/bibliography/moerdijk2003/
MacKay2003,"Information Theory, Inference, and Learning Algorithms",David J. C. MacKay,2003,book,/bibliography/mackay2003/
Voisin2003counter,Hodge Theory and Complex Algebraic Geometry~II,"Voisin, Claire",2003,book,/bibliography/voisin2003counter/
Voisin2003,Hodge Theory and Complex Algebraic Geometry I,Claire Voisin,2003,book,/bibliography/voisin2003/
nakahara2003geometry,"Geometry, Topology and Physics","Nakahara, Mikio",2003,book,/bibliography/nakahara2003geometry/
NakaharaGeometry2003,"Geometry, Topology and Physics",Mikio Nakahara,2003,book,/bibliography/nakaharageometry2003/
spergel2003wmap,First-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations,"Spergel, David N. and others",2003,article,/bibliography/spergel2003wmap/
Perelman2003-2,Finite extinction time for the solutions to the Ricci flow on certain three-manifolds,Grigori Perelman,2003,misc,/bibliography/perelman2003-2/
Perelman2003b,Finite extinction time for the solutions to the Ricci flow on certain three-manifolds,"Perelman, Grigori",2003,article,/bibliography/perelman2003b/
Hirani2003,Discrete Exterior Calculus,Ananya N. Hirani,2003,phdthesis,/bibliography/hirani2003/
KachruKalloshLindeTrivedi2003,De Sitter vacua in string theory,"Kachru, S. and Kallosh, R. and Linde, A. and Trivedi, S. P.",2003,article,/bibliography/kachrukalloshlindetrivedi2003/
Rubinstein2003,Computing L-functions and their zeros,M. Rubinstein,2003,phdthesis,/bibliography/rubinstein2003/
SteinShakarchi2003,Complex analysis,"Stein, Elias M. and Shakarchi, Rami",2003,book,/bibliography/steinshakarchi2003/
metzinger2003,Being No One: The Self-Model Theory of Subjectivity,Thomas Metzinger,2003,book,/bibliography/metzinger2003/
Matveev2003,Algorithmic Topology and Classification of 3-Manifolds,"Matveev, Sergei V.",2003,book,/bibliography/matveev2003/
Yanofsky2003,"A Universal Approach to Self-Referential Paradoxes, Incompleteness and Fixed Points",Noson S. Yanofsky,2003,article,/bibliography/yanofsky2003/
bertotti2003test,A Test of General Relativity Using Radio Links with the Cassini Spacecraft,"Bertotti, Bruno and Iess, Luciano and Tortora, Paolo",2003,article,/bibliography/bertotti2003test/
MoerdijkPalmgren2002,"Type Theories, Toposes and Constructive Set Theory: Predicative Aspects of AST",Ieke Moerdijk and Erik Palmgren,2002,article,/bibliography/moerdijkpalmgren2002/
Zygmund2002,Trigonometric Series,A. Zygmund,2002,book,/bibliography/zygmund2002/
Perelman2002,The entropy formula for the Ricci flow and its geometric applications,"Perelman, Grigori",2002,article,/bibliography/perelman2002/
gould2002,The Structure of Evolutionary Theory,"Gould, Stephen Jay",2002,book,/bibliography/gould2002/
Baez2002,The Octonions,"Baez, John C.",2002,article,/bibliography/baez2002/
wegner2002,The Illusion of Conscious Will,Daniel M. Wegner,2002,book,/bibliography/wegner2002/
joyce2002,The Antiquity of RNA-Based Evolution,"Joyce, Gerald F.",2002,article,/bibliography/joyce2002/
kitano2002,Systems Biology: A Brief Overview,"Kitano, Hiroaki",2002,article,/bibliography/kitano2002/
IwaniecSpectral,Spectral Methods of Automorphic Forms,Henryk Iwaniec,2002,book,/bibliography/iwaniecspectral/
Johnstone2002,Sketches of an elephant: a topos theory compendium,"Johnstone, Peter T.",2002,book,/bibliography/johnstone2002/
JohnstoneElephant2002,Sketches of an Elephant: A Topos Theory Compendium,"Johnstone, Peter T.",2002,book,/bibliography/johnstoneelephant2002/
BonkKleiner2002,Quasisymmetric parametrizations of two-dimensional metric spheres,"Bonk, Mario and Kleiner, Bruce",2002,article,/bibliography/bonkkleiner2002/
brockes2002,Plasticity and Reprogramming of Differentiated Cells in Amphibian Regeneration,"Brockes, Jeremy P. and Kumar, Anoop",2002,book,/bibliography/brockes2002/
BCDT01,On the modularity of elliptic curves over <math><mi mathvariant='double-struck'>Q</mi></math>: wild 3-adic exercises and other topics,Christophe Breuil and Brian Conrad and Fred Diamond and Richard Taylor,2002,article,/bibliography/bcdt01/
Marker2002,Model Theory: An Introduction,David Marker,2002,book,/bibliography/marker2002/
Voisin2002,Hodge Theory and Complex Algebraic Geometry I,Claire Voisin,2002,book,/bibliography/voisin2002/
LeVeque2002,Finite Volume Methods for Hyperbolic Problems,Randall J. LeVeque,2002,book,/bibliography/leveque2002/
Rhodes2002,"Facial Attractiveness: Evolutionary, Cognitive, and Social Perspectives",Gillian Rhodes and Leslie A. Zebrowitz,2002,book,/bibliography/rhodes2002/
Ulmer2002,Elliptic curves over function fields,Douglas Ulmer,2002,article,/bibliography/ulmer2002/
SNO2002,Direct Evidence for Neutrino Flavor Transformation from Neutral-Current Interactions in SNO,SNO Collaboration,2002,article,/bibliography/sno2002/
reppert2002,Coordination of Circadian Timing in Mammals,"Reppert, Steven M. and Weaver, David R.",2002,article,/bibliography/reppert2002/
Hess2002,Computing Riemann–Roch spaces in algebraic function fields and related topics,"Hess, Florian",2002,article,/bibliography/hess2002/
goldstein2002classical,Classical Mechanics,"Goldstein, Herbert and Poole, Charles P. and Safko, John L.",2002,book,/bibliography/goldstein2002classical/
Hatcher2002,Algebraic Topology,Allen Hatcher,2002,book,/bibliography/hatcher2002/
mayr2001,What Evolution Is,"Mayr, Ernst",2001,book,/bibliography/mayr2001/
dehaene2001,Towards a Cognitive Neuroscience of Consciousness: Basic Evidence and a Workspace Framework,Stanislas Dehaene and Lionel Naccache,2001,article,/bibliography/dehaene2001/
carroll2001cosmological,The Cosmological Constant,"Carroll, Sean M.",2001,article,/bibliography/carroll2001cosmological/
szostak2001,Synthesizing Life,"Szostak, Jack W. and Bartel, David P. and Luisi, P. Luigi",2001,article,/bibliography/szostak2001/
Hastad1999,Some Optimal Inapproximability Results,Johan Hästad,2001,article,/bibliography/hastad1999/
Willard2001,"Self-Verifying Axiom Systems, the Incompleteness Theorem and Related Reflection Principles",Dan E. Willard,2001,article,/bibliography/willard2001/
Holly2001,"Pictures of Ultrametric Spaces, the <math><mi>p</mi></math>-adic Numbers, and Valued Fields",Jan E. Holly,2001,article,/bibliography/holly2001/
KontsevichZagier2001,Periods,"Kontsevich, Maxim and Zagier, Don",2001,incollection,/bibliography/kontsevichzagier2001/
BCDTT2001,On the modularity of elliptic curves over Q: wild 3-adic exercises,Christophe Breuil and Brian Conrad and Fred Diamond and Richard Taylor,2001,article,/bibliography/bcdtt2001/
BCDMT2001,On the modularity of elliptic curves over <math><mi mathvariant='double-struck'>Q</mi></math>: wild 3-adic exercises,Christophe Breuil and Brian Conrad and Fred Diamond and Richard Taylor,2001,article,/bibliography/bcdmt2001/
BCDT2001,On the modularity of elliptic curves over <math><mi mathvariant='double-struck'>Q</mi></math>,C. Breuil and B. Conrad and F. Diamond and R. Taylor,2001,article,/bibliography/bcdt2001/
Temam2001,Navier–Stokes Equations: Theory and Numerical Analysis,Roger Temam,2001,book,/bibliography/temam2001/
Girard2001,Locus Solum: From the Rules of Logic to the Logic of Rules,Jean-Yves Girard,2001,article,/bibliography/girard2001/
Heinonen2001,Lectures on analysis on metric spaces,"Heinonen, Juha",2001,book,/bibliography/heinonen2001/
BakalovKirillov2001,Lectures on Tensor Categories and Modular Functors,"Bakalov, Bojko and Kirillov Jr., Alexander",2001,book,/bibliography/bakalovkirillov2001/
janeway2001,Immunobiology: The Immune System in Health and Disease,"Janeway, Charles A. and Travers, Paul and Walport, Mark and Shlomchik, Mark J.",2001,book,/bibliography/janeway2001/
IwaniecMartin2001,Geometric function theory and non-linear analysis,"Iwaniec, Tadeusz and Martin, Gaven",2001,book,/bibliography/iwaniecmartin2001/
MulmuleySohoni2001,Geometric Complexity Theory I: An Approach to the P vs. NP and Related Problems,Ketan D. Mulmuley and Milind Sohoni,2001,article,/bibliography/mulmuleysohoni2001/
Krantz2001,Function theory of several complex variables,"Krantz, Steven G.",2001,book,/bibliography/krantz2001/
KrantzSCV2001,Function Theory of Several Complex Variables,Steven G. Krantz,2001,book,/bibliography/krantzscv2001/
Gamelin2001,Complex analysis,"Gamelin, Theodore W.",2001,book,/bibliography/gamelin2001/
Lloyd2000,Ultimate physical limits to computation,Seth Lloyd,2000,article,/bibliography/lloyd2000/
Munkres2000,Topology,"Munkres, James R.",2000,book,/bibliography/munkres2000/
delaHarpe2000,Topics in Geometric Group Theory,Pierre de la Harpe,2000,book,/bibliography/delaharpe2000/
HedenmalmKorenblumZhu2000,Theory of Bergman spaces,"Hedenmalm, Håkan and Korenblum, Boris and Zhu, Kehe",2000,book,/bibliography/hedenmalmkorenblumzhu2000/
Trefethen2000,Spectral Methods in MATLAB,L. N. Trefethen,2000,book,/bibliography/trefethen2000/
KeatingSnaith2000,Random matrix theory and <math><mi>ζ(1/2+it)</mi></math>,J. P. Keating and N. C. Snaith,2000,article,/bibliography/keatingsnaith2000/
JaffeWitten2000,Quantum Yang–Mills Theory and the Mass Gap,Arthur Jaffe and Edward Witten,2000,misc,/bibliography/jaffewitten2000/
JaffeWittenClay2000,Quantum Yang–Mills Existence and Mass Gap,Arthur Jaffe and Edward Witten,2000,misc,/bibliography/jaffewittenclay2000/
RibesZalesskii2000,Profinite Groups,Luis Ribes and Pavel Zalesskii,2000,book,/bibliography/ribeszalesskii2000/
Baladi2000,Positive Transfer Operators and Decay of Correlations,Viviane Baladi,2000,book,/bibliography/baladi2000/
EngelNagel2000,One-Parameter Semigroups for Linear Evolution Equations,Klaus-Jochen Engel and Rainer Nagel,2000,book,/bibliography/engelnagel2000/
Davenport2000,Multiplicative Number Theory,H. Davenport,2000,book,/bibliography/davenport2000/
AharonyGubserMaldacenaOoguriOz2000,"Large $N$ field theories, string theory and gravity","Aharony, O. and Gubser, S. S. and Maldacena, J. and Ooguri, H. and Oz, Y.",2000,article,/bibliography/aharonygubsermaldacenaoogurioz2000/
williamson2000,Knowledge and Its Limits,Timothy Williamson,2000,book,/bibliography/williamson2000/
kauffman2000,Investigations,"Kauffman, Stuart A.",2000,book,/bibliography/kauffman2000/
Hartshorne2000,Geometry: Euclid and Beyond,Robin Hartshorne,2000,book,/bibliography/hartshorne2000/
Weihrauch2000,Computable Analysis: An Introduction,Klaus Weihrauch,2000,book,/bibliography/weihrauch2000/
NabutovskyWeinberger2000,Algorithmic unsolvability of the triviality problem for certain classes of geometric structures,Alexander Nabutovsky and Shmuel Weinberger,2000,article,/bibliography/nabutovskyweinberger2000/
edelman2000,A Universe of Consciousness: How Matter Becomes Imagination,"Edelman, Gerald M. and Tononi, Giulio",2000,book,/bibliography/edelman2000/
RobertAM2000,A Course in <math><mi>p</mi></math>-adic Analysis,Alain M. Robert,2000,book,/bibliography/robertam2000/
Connes1999,Trace formula in noncommutative geometry and the zeros of the Riemann zeta function,Alain Connes,1999,article,/bibliography/connes1999/
BerryKeating1999,The Riemann zeros and eigenvalue asymptotics,M. V. Berry and J. P. Keating,1999,article,/bibliography/berrykeating1999/
truman2019,The Origins of Insect Metamorphosis,"Truman, James W. and Riddiford, Lynn M.",1999,book,/bibliography/truman2019/
Maldacena1999,The Large N Limit of Superconformal Field Theories and Supergravity,Juan Maldacena,1999,article,/bibliography/maldacena1999/
damasio1999,The Feeling of What Happens: Body and Emotion in the Making of Consciousness,"Damasio, Antonio",1999,book,/bibliography/damasio1999/
Barbour1999,The End of Time: The Next Revolution in Physics,Julian Barbour,1999,book,/bibliography/barbour1999/
TarskiGivant1999,Tarski's System of Geometry,Alfred Tarski and Steven Givant,1999,article,/bibliography/tarskigivant1999/
sloterdijk1999,Sphären II: Globen,Peter Sloterdijk,1999,book,/bibliography/sloterdijk1999/
murray1999solar,Solar System Dynamics,"Murray, Carl D. and Dermott, Stanley F.",1999,book,/bibliography/murray1999solar/
BaouendiEbenfeltRothschild1999,Real submanifolds in complex space and their mappings,"Baouendi, M. Salah and Ebenfelt, Peter and Rothschild, Linda P.",1999,book,/bibliography/baouendiebenfeltrothschild1999/
KatzSarnak,"Random Matrices, Frobenius Eigenvalues, and Monodromy",Nicholas M. Katz and Peter Sarnak,1999,book,/bibliography/katzsarnak/
KatzSarnak1999,"Random Matrices, Frobenius Eigenvalues, and Monodromy","Katz, Nicholas M. and Sarnak, Peter",1999,book,/bibliography/katzsarnak1999/
Kottos1999,Periodic Orbit Theory and Spectral Statistics for Quantum Graphs,Tsampikos Kottos and Uzy Smilansky,1999,article,/bibliography/kottos1999/
Hebey1999,Nonlinear Analysis on Manifolds: Sobolev Spaces and Inequalities,E. Hebey,1999,book,/bibliography/hebey1999/
BridsonHaefliger1999,Metric Spaces of Non-Positive Curvature,Martin R. Bridson and André Haefliger,1999,book,/bibliography/bridsonhaefliger1999/
perlmutter1999measurements,Measurements of <math><mi>Ω</mi></math> and <math><mi>Λ</mi></math> from 42 High-Redshift Supernovae,"Perlmutter, Saul and others",1999,article,/bibliography/perlmutter1999measurements/
KostrykinSchrader1999,Kirchhoff's rule for quantum wires,Vadim Kostrykin and Robert Schrader,1999,article,/bibliography/kostrykinschrader1999/
Rump1999,INTLAB – INTerval LABoratory,"Rump, Siegfried M.",1999,article,/bibliography/rump1999/
Serre1999,Galois cohomology,"Serre, Jean-Pierre",1999,book,/bibliography/serre1999/
Terras1999,Fourier Analysis on Finite Groups and Applications,Audrey Terras,1999,book,/bibliography/terras1999/
Robinson1999,"Dynamical Systems: Stability, Symbolic Dynamics, and Chaos",Clark Robinson,1999,book,/bibliography/robinson1999/
Olver1999,Classical invariant theory and applications,"Olver, Peter J.",1999,book,/bibliography/olver1999/
Neukirch1999,Algebraic number theory,"Neukirch, Jürgen",1999,book,/bibliography/neukirch1999/
Maldacena1998,The large N limit of superconformal field theories and supergravity,"Maldacena, Juan M.",1998,article,/bibliography/maldacena1998/
margulis1998,Symbiotic Planet: A New Look at Evolution,"Margulis, Lynn",1998,book,/bibliography/margulis1998/
sloterdijk1998,Sphären I: Blasen,Peter Sloterdijk,1998,book,/bibliography/sloterdijk1998/
Deninger1998,Some analogies between number theory and dynamical systems on foliated spaces,C. Deninger,1998,article,/bibliography/deninger1998/
BochnakCosteRoy1998,Real algebraic geometry,"Bochnak, Jacek and Coste, Michel and Roy, Marie-Françoise",1998,book,/bibliography/bochnakcosteroy1998/
Bochnak1998,Real Algebraic Geometry,Jacek Bochnak and Michel Coste and Marie-Françoise Roy,1998,book,/bibliography/bochnak1998/
Wilson1998,Profinite groups,"Wilson, John S.",1998,book,/bibliography/wilson1998/
AroraSafra1998,Probabilistic Checking of Proofs: A New Characterization of NP,Sanjeev Arora and Shmuel Safra,1998,article,/bibliography/arorasafra1998/
Evans1998,Partial Differential Equations,"Evans, Lawrence C.",1998,book,/bibliography/evans1998/
riess1998observational,Observational Evidence from Supernovae for an Accelerating Universe and a Cosmological Constant,"Riess, Adam G. and others",1998,article,/bibliography/riess1998observational/
Forman1998,Morse theory for cell complexes,Robin Forman,1998,article,/bibliography/forman1998/
Bishop2002,Latent Variable Models,Christopher M. Bishop,1998,article,/bibliography/bishop2002/
Fulton1998,Intersection Theory,"Fulton, William",1998,book,/bibliography/fulton1998/
SuperK1998,Evidence for Oscillation of Atmospheric Neutrinos,Super-Kamiokande Collaboration,1998,article,/bibliography/superk1998/
SuperKamiokande1998,Evidence for Oscillation of Atmospheric Neutrinos,Super-Kamiokande Collaboration,1998,article,/bibliography/superkamiokande1998/
Clayton2003,Episodic-like Memory During Cache Recovery by Scrub Jays,Nicola S. Clayton and Anthony Dickinson,1998,article,/bibliography/clayton2003/
Bossavit1998,"Computational Electromagnetism: Variational Formulations, Complementarity, Edge Elements",Alain Bossavit,1998,book,/bibliography/bossavit1998/
Blum1998,Complexity and Real Computation,"Blum, Lenore and Cucker, Felipe and Shub, Mike and Smale, Steve",1998,book,/bibliography/blum1998/
MacLane1998,Categories for the Working Mathematician,Saunders Mac Lane,1998,book,/bibliography/maclane1998/
maclane1998categories,Categories for the Working Mathematician,"Mac Lane, Saunders",1998,book,/bibliography/maclane1998categories/
EisensteinHu1998,Baryonic Features in the Matter Transfer Function,"Eisenstein, Daniel J. and Hu, Wayne",1998,article,/bibliography/eisensteinhu1998/
Needham1997,Visual complex analysis,"Needham, Tristan",1997,book,/bibliography/needham1997/
block1995,The Nature of Consciousness: Philosophical Debates,Ned Block and Owen Flanagan and Güven Güzeldere,1997,book,/bibliography/block1995/
Rosenberg1997,The Laplacian on a Riemannian Manifold: An Introduction to Analysis on Manifolds,Steven Rosenberg,1997,book,/bibliography/rosenberg1997/
Knuth1997,"The Art of Computer Programming, Volume 2: Seminumerical Algorithms",Donald E. Knuth,1997,book,/bibliography/knuth1997/
Chung1997,Spectral Graph Theory,Fan R. K. Chung,1997,book,/bibliography/chung1997/
TrefethenBau1997,Numerical Linear Algebra,"Lloyd N. Trefethen and David Bau, III",1997,book,/bibliography/trefethenbau1997/
Maddy1997,Naturalism in Mathematics,"Maddy, Penelope",1997,book,/bibliography/maddy1997/
RazborovRudich1997,Natural proofs,Alexander A. Razborov and Steven Rudich,1997,article,/bibliography/razborovrudich1997/
